GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US38079,ZCTA5 38079,1311,32629,54397
8600000US40003,ZCTA5 40003,749,78068,84259
8600000US40004,ZCTA5 40004,11732,61974,76107
8600000US40006,ZCTA5 40006,1675,61838,67429
8600000US40007,ZCTA5 40007,25,-,48472
8600000US40008,ZCTA5 40008,1333,50037,61121
8600000US40009,ZCTA5 40009,572,55117,51992
8600000US40010,ZCTA5 40010,207,113661,123018
8600000US40011,ZCTA5 40011,1046,55403,64654
8600000US40012,ZCTA5 40012,255,58542,66127
8600000US40013,ZCTA5 40013,2250,73779,104608
8600000US40014,ZCTA5 40014,7287,105942,132359
8600000US40019,ZCTA5 40019,1533,43098,68822
8600000US40020,ZCTA5 40020,138,75514,67888
8600000US40022,ZCTA5 40022,325,114250,120913
8600000US40023,ZCTA5 40023,1872,114659,132931
8600000US40025,ZCTA5 40025,43,"250,000+",480965
8600000US40026,ZCTA5 40026,1949,117882,166985
8600000US40031,ZCTA5 40031,7529,74973,90376
8600000US40033,ZCTA5 40033,4868,40485,57823
8600000US40036,ZCTA5 40036,124,61250,63211
8600000US40037,ZCTA5 40037,1040,56979,59147
8600000US40040,ZCTA5 40040,158,22394,34222
8600000US40041,ZCTA5 40041,300,-,68737
8600000US40045,ZCTA5 40045,1634,44786,69834
8600000US40046,ZCTA5 40046,545,76165,79604
8600000US40047,ZCTA5 40047,7091,75428,82962
8600000US40048,ZCTA5 40048,0,-,-
8600000US40049,ZCTA5 40049,0,-,-
8600000US40050,ZCTA5 40050,656,29100,40579
8600000US40051,ZCTA5 40051,1817,57712,65836
8600000US40052,ZCTA5 40052,162,46125,63487
8600000US40055,ZCTA5 40055,780,71061,78510
8600000US40056,ZCTA5 40056,1236,87647,113321
8600000US40057,ZCTA5 40057,1518,52577,62302
8600000US40058,ZCTA5 40058,42,-,45583
8600000US40059,ZCTA5 40059,7830,151111,216271
8600000US40060,ZCTA5 40060,520,45000,50272
8600000US40062,ZCTA5 40062,69,26458,37378
8600000US40063,ZCTA5 40063,0,-,-
8600000US40065,ZCTA5 40065,11213,66231,82355
8600000US40067,ZCTA5 40067,2261,93832,121966
8600000US40068,ZCTA5 40068,795,74620,90039
8600000US40069,ZCTA5 40069,3311,58299,73872
8600000US40070,ZCTA5 40070,193,53242,65932
8600000US40071,ZCTA5 40071,5854,85696,97651
8600000US40075,ZCTA5 40075,368,58000,58099
8600000US40076,ZCTA5 40076,963,70156,79429
8600000US40077,ZCTA5 40077,237,68958,71452
8600000US40078,ZCTA5 40078,977,47470,66035
8600000US40104,ZCTA5 40104,426,63542,74405
8600000US40107,ZCTA5 40107,899,73969,76000
8600000US40108,ZCTA5 40108,4616,66652,80169
8600000US40109,ZCTA5 40109,696,61971,85950
8600000US40110,ZCTA5 40110,30,-,N
8600000US40111,ZCTA5 40111,661,39375,47270
8600000US40115,ZCTA5 40115,241,53063,57193
8600000US40117,ZCTA5 40117,864,46937,62925
8600000US40118,ZCTA5 40118,3650,51217,60141
8600000US40119,ZCTA5 40119,796,67561,67046
8600000US40121,ZCTA5 40121,2472,63119,76528
8600000US40140,ZCTA5 40140,305,-,31744
8600000US40142,ZCTA5 40142,833,66278,80080
8600000US40143,ZCTA5 40143,2429,51905,69249
8600000US40144,ZCTA5 40144,589,46806,57348
8600000US40145,ZCTA5 40145,208,46375,78141
8600000US40146,ZCTA5 40146,1489,42054,50934
8600000US40150,ZCTA5 40150,1703,55293,68607
8600000US40152,ZCTA5 40152,338,64792,103855
8600000US40155,ZCTA5 40155,462,50361,46020
8600000US40157,ZCTA5 40157,298,65417,79588
8600000US40160,ZCTA5 40160,9458,48058,60759
8600000US40161,ZCTA5 40161,72,52800,52471
8600000US40162,ZCTA5 40162,1864,76726,91512
8600000US40165,ZCTA5 40165,14041,65599,77422
8600000US40170,ZCTA5 40170,157,64583,65592
8600000US40171,ZCTA5 40171,69,28583,32599
8600000US40175,ZCTA5 40175,5278,63514,82168
8600000US40176,ZCTA5 40176,350,36818,44082
8600000US40177,ZCTA5 40177,635,43174,70224
8600000US40178,ZCTA5 40178,194,61875,90638
8600000US40202,ZCTA5 40202,3104,17295,48874
8600000US40203,ZCTA5 40203,8936,25129,40085
8600000US40204,ZCTA5 40204,7590,52273,79675
8600000US40205,ZCTA5 40205,10321,83703,113676
8600000US40206,ZCTA5 40206,9812,57486,83152
8600000US40207,ZCTA5 40207,13847,82453,123009
